Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes
000000008082.jpg, 0.675088, 0.09856, 43.5, 2
000000515596.jpg, 0.667690, 0.11604, 45.8, 5
000000212779.jpg, 0.692368, 0.11337, 48.1, 6
000000022553.jpg, 0.946895, 0.11416, 45.3, 2
000000191148.jpg, 0.768776, 0.12161, 45.5, 3
000000216328.jpg, 0.606012, 0.08580, 42.9, 6
000000442265.jpg, 0.604283, 0.12448, 48.6, 5
000000176072.jpg, 0.680663, 0.12486, 41.0, 3
000000446489.jpg, 0.879384, 0.12361, 49.3, 4
000000226186.jpg, 0.935622, 0.12339, 48.8, 1
000000091964.jpg, 0.781630, 0.11309, 47.6, 6
000000051036.jpg, 0.854262, 0.11332, 46.3, 7
000000060643.jpg, 0.611226, 0.12350, 39.1, 4
000000447750.jpg, 0.572489, 0.11377, 48.4, 22
000000403604.jpg, 0.588491, 0.11981, 49.0, 1
000000406815.jpg, 0.607509, 0.11805, 47.6, 1
000000054263.jpg, 0.694234, 0.11302, 42.2, 17
000000024170.jpg, 0.622464, 0.10689, 49.2, 5
000000378510.jpg, 0.660294, 0.11298, 46.0, 5
000000435555.jpg, 0.312249, 0.12212, 50.0, 1
000000176611.jpg, 0.840262, 0.12190, 43.4, 2
000000331293.jpg, 0.000000, 0.12048, 48.2, 0
000000417473.jpg, 0.730996, 0.11447, 48.7, 7
000000134489.jpg, 0.691463, 0.11637, 43.1, 3
000000163298.jpg, 0.584754, 0.11328, 46.0, 2
000000541187.jpg, 0.777642, 0.11242, 49.2, 2
000000375984.jpg, 0.558018, 0.12030, 46.4, 3
000000173990.jpg, 0.606415, 0.12085, 47.4, 4
000000501662.jpg, 0.575089, 0.12121, 48.0, 3
000000148674.jpg, 0.569927, 0.11701, 46.9, 13
000000112233.jpg, 0.481078, 0.15722, 46.2, 1
000000451735.jpg, 0.725386, 0.10098, 47.2, 16
000000127442.jpg, 0.531422, 0.11830, 47.3, 8
000000556539.jpg, 0.561485, 0.12247, 47.5, 18
000000496080.jpg, 0.593645, 0.11734, 47.2, 11
000000237634.jpg, 0.916547, 0.12125, 46.7, 4
000000330587.jpg, 0.580373, 0.13169, 46.0, 3
000000287837.jpg, 0.496569, 0.15996, 45.3, 25
000000294748.jpg, 0.855888, 0.11729, 42.1, 1
000000149569.jpg, 0.943012, 0.11853, 50.8, 2
000000158847.jpg, 0.590012, 0.11857, 49.5, 13
000000364978.jpg, 0.942604, 0.11704, 46.1, 1
000000304987.jpg, 0.781294, 0.11457, 45.9, 6
000000405422.jpg, 0.595585, 0.11565, 45.3, 6
000000066740.jpg, 0.596632, 0.12036, 46.2, 1
000000518045.jpg, 0.398539, 0.11260, 46.3, 1
000000117992.jpg, 0.428605, 0.11271, 49.5, 18
000000495301.jpg, 0.609726, 0.12252, 43.2, 11
000000208307.jpg, 0.651596, 0.11464, 45.0, 4
000000488025.jpg, 0.526331, 0.12490, 46.9, 15
000000298968.jpg, 0.745599, 0.12323, 50.5, 2
000000212729.jpg, 0.668193, 0.12307, 47.8, 13
000000104076.jpg, 0.619236, 0.11419, 44.6, 33
000000214357.jpg, 0.721748, 0.12259, 46.2, 10
000000324038.jpg, 0.523111, 0.10047, 45.2, 8
000000469674.jpg, 0.713981, 0.12457, 45.7, 7
000000559913.jpg, 0.706914, 0.11606, 45.7, 6
000000519119.jpg, 0.625196, 0.10309, 45.5, 20
000000030320.jpg, 0.543714, 0.12195, 49.0, 12
000000281256.jpg, 0.760091, 0.11878, 39.5, 3
000000102760.jpg, 0.691153, 0.11938, 44.0, 1
000000541494.jpg, 0.575530, 0.11752, 47.9, 7
000000515443.jpg, 0.872002, 0.10025, 47.2, 5
000000549611.jpg, 0.740668, 0.12288, 43.6, 3
000000578443.jpg, 0.520388, 0.12003, 49.2, 16
000000550343.jpg, 0.724367, 0.11393, 49.5, 5
000000300935.jpg, 0.671907, 0.12091, 49.5, 10
000000505756.jpg, 0.597536, 0.12053, 47.6, 17
000000081347.jpg, 0.627793, 0.12550, 45.6, 2
000000121127.jpg, 0.795825, 0.12256, 48.0, 4
000000198749.jpg, 0.782807, 0.11346, 48.9, 3
000000440150.jpg, 0.547270, 0.11476, 43.5, 20
000000561236.jpg, 0.634426, 0.12549, 43.4, 3
000000263129.jpg, 0.587917, 0.11564, 46.3, 5
000000509249.jpg, 0.766826, 0.11687, 41.7, 12
000000237461.jpg, 0.779585, 0.12278, 51.0, 3
000000302805.jpg, 0.652086, 0.11613, 46.9, 5
000000092208.jpg, 0.631933, 0.12271, 42.9, 12
000000388003.jpg, 0.596228, 0.12190, 47.9, 7
000000125409.jpg, 0.000000, 0.11407, 42.1, 0
000000041538.jpg, 0.510668, 0.12230, 45.6, 3
000000472901.jpg, 0.668528, 0.11693, 45.5, 7
000000139096.jpg, 0.542872, 0.11407, 48.1, 4
000000186680.jpg, 0.651093, 0.11773, 42.2, 8
000000557779.jpg, 0.583176, 0.11098, 50.3, 14
000000474044.jpg, 0.782857, 0.12275, 49.3, 6
000000415092.jpg, 0.740045, 0.11726, 45.0, 7
000000021748.jpg, 0.468456, 0.11478, 49.5, 2
000000557456.jpg, 0.515919, 0.09397, 41.1, 6
000000158008.jpg, 0.727569, 0.12115, 47.4, 2
000000341803.jpg, 0.819011, 0.11693, 47.2, 4
000000344109.jpg, 0.829229, 0.11493, 47.6, 3
000000235821.jpg, 0.550315, 0.11423, 45.6, 16
000000168351.jpg, 0.769622, 0.12277, 46.2, 4
000000546916.jpg, 0.707025, 0.12037, 48.5, 3
000000350976.jpg, 0.485579, 0.11563, 43.5, 2
000000423831.jpg, 0.788718, 0.12130, 45.5, 3
000000185128.jpg, 0.460084, 0.12635, 41.3, 20
000000480350.jpg, 0.624413, 0.11401, 47.5, 21
000000258944.jpg, 0.934665, 0.11494, 45.6, 1
000000070264.jpg, 0.679834, 0.12057, 49.0, 4
000000218344.jpg, 0.876571, 0.12411, 50.5, 2
000000276920.jpg, 0.490710, 0.11599, 46.2, 10
000000033951.jpg, 0.548303, 0.11479, 44.7, 34
000000362717.jpg, 0.619416, 0.11678, 51.9, 4
000000371096.jpg, 0.369360, 0.12397, 47.1, 3
000000077157.jpg, 0.874659, 0.11885, 45.1, 3
000000237053.jpg, 0.946464, 0.11903, 45.7, 1
000000369435.jpg, 0.693766, 0.10727, 42.9, 12
000000074149.jpg, 0.629819, 0.12249, 48.3, 10
000000188714.jpg, 0.776641, 0.12712, 42.5, 3
000000123078.jpg, 0.912187, 0.12304, 46.3, 2
000000523967.jpg, 0.839329, 0.11911, 45.1, 6
000000095942.jpg, 0.774968, 0.11654, 46.2, 2
000000447683.jpg, 0.496379, 0.15993, 47.3, 3
000000558085.jpg, 0.692839, 0.11204, 49.5, 7
000000138427.jpg, 0.471936, 0.10365, 41.6, 1
000000498069.jpg, 0.746158, 0.12192, 45.7, 8
000000384820.jpg, 0.585031, 0.11992, 43.7, 9
000000078588.jpg, 0.465202, 0.15935, 36.4, 29
000000198131.jpg, 0.774686, 0.10918, 47.5, 3
000000199562.jpg, 0.570013, 0.09298, 47.0, 6
000000301947.jpg, 0.789389, 0.12258, 48.2, 1
000000532395.jpg, 0.884573, 0.11682, 42.1, 3
000000291364.jpg, 0.457935, 0.12109, 41.9, 4
000000477091.jpg, 0.624101, 0.11624, 41.1, 5
000000548774.jpg, 0.553656, 0.12303, 46.0, 8
000000146642.jpg, 0.833387, 0.12474, 44.5, 3
000000492149.jpg, 0.841240, 0.12448, 44.2, 2
000000171263.jpg, 0.568228, 0.11334, 46.1, 11
000000462600.jpg, 0.879334, 0.11606, 45.4, 1
000000087952.jpg, 0.488743, 0.11492, 48.4, 7
000000366987.jpg, 0.837257, 0.10077, 45.9, 4
000000392752.jpg, 0.571770, 0.12024, 45.7, 4
000000502085.jpg, 0.865469, 0.14749, 48.6, 2
000000132543.jpg, 0.553362, 0.11324, 51.8, 8
000000245200.jpg, 0.728791, 0.12421, 48.0, 2
000000138313.jpg, 0.461903, 0.12405, 45.4, 3
000000162671.jpg, 0.678135, 0.12454, 46.3, 8
000000024114.jpg, 0.930104, 0.11640, 46.7, 2
000000555846.jpg, 0.897954, 0.11564, 48.4, 2
000000378084.jpg, 0.719137, 0.12542, 46.0, 3
000000571685.jpg, 0.645208, 0.11490, 50.3, 17
000000167124.jpg, 0.480964, 0.11742, 42.4, 2
000000306695.jpg, 0.614122, 0.12173, 46.7, 3
000000383098.jpg, 0.787836, 0.11541, 50.3, 4
000000315983.jpg, 0.714015, 0.11826, 43.2, 7
000000502350.jpg, 0.712791, 0.11912, 43.7, 2
000000065423.jpg, 0.797201, 0.12544, 46.3, 2
000000328556.jpg, 0.931580, 0.12123, 50.0, 1
000000176261.jpg, 0.627602, 0.13975, 51.0, 4
000000389785.jpg, 0.675390, 0.10165, 47.6, 12
000000096141.jpg, 0.618292, 0.12130, 46.3, 9
000000531698.jpg, 0.668530, 0.12585, 46.2, 9
000000298918.jpg, 0.758704, 0.11422, 45.1, 9
000000507973.jpg, 0.490590, 0.11622, 47.6, 8
000000532039.jpg, 0.563865, 0.15767, 49.2, 7
000000294385.jpg, 0.545031, 0.12433, 45.7, 2
000000357694.jpg, 0.579463, 0.10433, 47.9, 19
000000320010.jpg, 0.792041, 0.12458, 48.1, 5
000000502096.jpg, 0.919311, 0.11537, 48.0, 1
000000042607.jpg, 0.523786, 0.12341, 50.0, 5
000000291250.jpg, 0.493236, 0.11587, 44.9, 10
000000151937.jpg, 0.652908, 0.09743, 46.9, 8
000000014324.jpg, 0.830250, 0.12479, 44.4, 2
000000439713.jpg, 0.759504, 0.11518, 48.1, 1
000000039164.jpg, 0.758056, 0.12088, 51.7, 8
000000398543.jpg, 0.000000, 0.12719, 43.7, 0
000000122068.jpg, 0.358622, 0.12275, 45.5, 7
000000057900.jpg, 0.745772, 0.12646, 43.4, 11
000000273644.jpg, 0.414793, 0.13630, 46.1, 2
000000466120.jpg, 0.625671, 0.11681, 49.7, 8
000000257573.jpg, 0.717608, 0.11472, 50.0, 6
000000300539.jpg, 0.709545, 0.12533, 48.8, 10
000000579285.jpg, 0.586845, 0.10221, 47.0, 19
000000026417.jpg, 0.000000, 0.11741, 44.9, 0
000000178765.jpg, 0.663082, 0.11569, 41.6, 3
000000315684.jpg, 0.694090, 0.12530, 45.5, 2
000000177484.jpg, 0.519488, 0.12003, 46.5, 3
000000353708.jpg, 0.924113, 0.11830, 42.5, 1
000000562976.jpg, 0.586637, 0.11750, 45.8, 3
000000222937.jpg, 0.946427, 0.12724, 42.7, 1
000000264841.jpg, 0.533289, 0.12297, 43.2, 7
000000076391.jpg, 0.505859, 0.12520, 44.6, 17
000000318480.jpg, 0.612524, 0.12392, 42.7, 5
000000441329.jpg, 0.613641, 0.11829, 43.3, 7
000000458512.jpg, 0.657828, 0.12180, 47.2, 11
000000078776.jpg, 0.649873, 0.12327, 45.0, 4
000000531231.jpg, 0.615428, 0.11411, 47.6, 2
000000099016.jpg, 0.438568, 0.12462, 49.0, 14
000000273343.jpg, 0.652996, 0.13510, 47.4, 3
000000030606.jpg, 0.578884, 0.10186, 44.3, 7
000000397614.jpg, 0.741227, 0.12373, 44.4, 5
000000003486.jpg, 0.688849, 0.10261, 45.4, 4
000000108790.jpg, 0.595454, 0.12163, 43.4, 4
000000428022.jpg, 0.691704, 0.11517, 45.6, 10
000000466141.jpg, 0.573107, 0.11700, 44.2, 36
000000227275.jpg, 0.486232, 0.11499, 44.9, 8
000000098625.jpg, 0.865626, 0.11891, 44.8, 3
000000499647.jpg, 0.589168, 0.12352, 42.6, 9
000000073990.jpg, 0.626088, 0.12503, 46.8, 10
000000343617.jpg, 0.471735, 0.12535, 41.4, 8
000000153470.jpg, 0.844937, 0.12116, 42.6, 3
000000380324.jpg, 0.715738, 0.12350, 45.2, 4
000000163915.jpg, 0.846761, 0.12390, 45.9, 3
000000162186.jpg, 0.830908, 0.11856, 44.9, 3
000000501351.jpg, 0.584899, 0.12148, 50.2, 1
000000382851.jpg, 0.644643, 0.12463, 44.9, 5
000000335782.jpg, 0.653906, 0.10207, 45.7, 1
000000074985.jpg, 0.486809, 0.12242, 48.2, 10
000000417401.jpg, 0.644583, 0.12227, 47.2, 3
000000350474.jpg, 0.897413, 0.11640, 48.0, 3
000000550531.jpg, 0.787800, 0.12221, 48.2, 4
000000086028.jpg, 0.504848, 0.12208, 47.9, 6
000000128934.jpg, 0.886027, 0.13205, 44.8, 3
000000460936.jpg, 0.665296, 0.11179, 46.2, 8
000000234583.jpg, 0.558336, 0.12159, 46.3, 8
000000375555.jpg, 0.607558, 0.12298, 49.2, 7
000000252258.jpg, 0.934955, 0.11497, 47.2, 2
000000221201.jpg, 0.629081, 0.11524, 48.7, 13
000000526938.jpg, 0.499953, 0.12302, 48.0, 25
000000080083.jpg, 0.739317, 0.12284, 45.5, 5
000000305566.jpg, 0.574527, 0.10344, 47.1, 1
000000268186.jpg, 0.523928, 0.12144, 50.0, 4
000000301354.jpg, 0.860352, 0.12117, 45.2, 2
000000410026.jpg, 0.409669, 0.12192, 49.0, 3
000000240886.jpg, 0.907840, 0.12157, 46.6, 1
000000051190.jpg, 0.654312, 0.12052, 44.0, 4
000000339205.jpg, 0.545737, 0.10334, 44.8, 5
000000110847.jpg, 0.715564, 0.11739, 43.0, 15
000000023340.jpg, 0.605172, 0.16152, 47.9, 3
000000397386.jpg, 0.934422, 0.11810, 45.5, 1
000000020559.jpg, 0.936216, 0.12544, 46.3, 4
000000277476.jpg, 0.433709, 0.12186, 46.9, 11
000000579363.jpg, 0.653039, 0.11691, 41.9, 2
