Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000274666.jpg,0.0,0.03392,33.9,0,0
000000274666.jpg,0.0,0.03392,33.9,0,0
000000274666.jpg,0.0,0.03392,33.9,0,0
000000274666.jpg,0.0,0.03392,33.9,0,0
000000274666.jpg,0.0,0.03392,33.9,0,0
000000092387.jpg,0.0,0.03392,28.3,0,0
000000092387.jpg,0.0,0.03392,28.3,0,0
000000092387.jpg,0.0,0.03392,28.3,0,0
000000092387.jpg,0.0,0.03392,28.3,0,0
000000092387.jpg,0.0,0.03392,28.3,0,0
000000339033.jpg,0.736951,0.03164,34.0,1,0
000000120469.jpg,0.64192,0.0282,32.6,3,0
000000245395.jpg,0.54215,0.03261,27.1,10,0
000000128129.jpg,0.535962,0.04004,42.5,6,1
000000405124.jpg,0.525174,0.03072,29.8,4,0
000000303384.jpg,0.402302,0.03071,33.3,4,0
000000224591.jpg,0.467853,0.03459,36.7,8,1
000000373680.jpg,0.812382,0.0327,27.1,2,0
000000131177.jpg,0.454321,0.02884,34.0,1,0
000000121544.jpg,0.561933,0.02941,43.6,1,0
000000023324.jpg,0.581971,0.03126,38.9,1,0
000000161297.jpg,0.862478,0.03002,22.0,1,0
000000137932.jpg,0.612803,0.03028,30.4,2,0
000000251472.jpg,0.386813,0.03209,20.9,5,0
000000005403.jpg,0.419488,0.03271,30.0,14,0
000000307793.jpg,0.720368,0.03635,21.8,2,1
000000268417.jpg,0.498361,0.02975,24.4,3,0
000000516869.jpg,0.802145,0.03037,19.5,3,0
000000572501.jpg,0.702995,0.03018,42.9,2,0
000000558838.jpg,0.666952,0.02874,37.5,9,0
000000581417.jpg,0.816563,0.03258,35.2,2,0
000000411490.jpg,0.530661,0.02835,23.1,7,0
000000361084.jpg,0.485194,0.03032,21.4,22,0
000000150936.jpg,0.522895,0.02904,39.2,2,0
000000511010.jpg,0.708181,0.02961,15.8,2,0
000000129734.jpg,0.412354,0.02921,38.8,1,0
000000238540.jpg,0.0,0.03413,34.5,0,0
000000238540.jpg,0.0,0.03413,34.5,0,0
