Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000216328.jpg,0.676493,0.04369,38.0,4,0
000000442265.jpg,0.602044,0.05964,35.6,4,0
000000176072.jpg,0.524922,0.06159,44.4,3,0
000000446489.jpg,0.828067,0.06714,36.8,4,0
000000226186.jpg,0.773986,0.06349,43.7,1,0
000000091964.jpg,0.697513,0.05732,43.4,6,0
000000051036.jpg,0.758467,0.0584,43.0,7,0
000000060643.jpg,0.645155,0.06476,41.3,2,0
000000447750.jpg,0.557943,0.05811,39.4,16,0
000000403604.jpg,0.465644,0.06284,41.1,1,0
000000406815.jpg,0.6104,0.05992,43.5,1,0
000000054263.jpg,0.656708,0.06137,35.4,15,0
000000024170.jpg,0.512085,0.05612,36.4,5,0
000000378510.jpg,0.620235,0.05957,41.0,5,0
000000435555.jpg,0.405207,0.0625,38.4,1,0
000000176611.jpg,0.768279,0.06322,29.4,2,0
000000331293.jpg,0.0,0.06482,42.3,0,0
000000417473.jpg,0.695322,0.06107,38.6,7,0
000000134489.jpg,0.679472,0.05955,42.2,3,0
000000163298.jpg,0.842298,0.05714,43.0,1,0
000000541187.jpg,0.692961,0.0578,42.3,2,0
000000375984.jpg,0.507924,0.06261,43.2,3,0
000000173990.jpg,0.643589,0.06191,44.9,3,0
000000501662.jpg,0.630865,0.06487,32.0,2,0
000000148674.jpg,0.657609,0.05714,31.7,7,0
000000112233.jpg,0.0,0.07661,35.7,0,1
000000451735.jpg,0.682214,0.05251,32.9,14,0
000000127442.jpg,0.580544,0.06608,30.9,7,0
000000556539.jpg,0.489253,0.06572,40.7,16,0
000000496080.jpg,0.524573,0.05928,46.2,8,0
000000237634.jpg,0.799534,0.0651,40.0,5,0
000000330587.jpg,0.491173,0.07065,34.3,2,1
000000287837.jpg,0.610099,0.08086,39.5,12,1
000000294748.jpg,0.797799,0.05896,34.8,1,0
000000149569.jpg,0.821537,0.0631,37.6,2,0
000000158847.jpg,0.545964,0.06304,41.0,12,0
000000364978.jpg,0.903416,0.05832,43.3,1,0
000000304987.jpg,0.684737,0.05462,34.2,6,0
000000405422.jpg,0.582408,0.0585,36.5,6,0
000000066740.jpg,0.386219,0.05996,39.6,1,0
000000518045.jpg,0.0,0.06353,42.6,0,0
000000518045.jpg,0.0,0.06353,42.6,0,0
000000388155.jpg,0.0,0.06353,41.3,0,0
000000388155.jpg,0.0,0.06353,41.3,0,0
000000117992.jpg,0.433854,0.0585,36.6,13,0
000000495301.jpg,0.475746,0.05866,42.7,9,0
000000208307.jpg,0.459526,0.06046,37.5,4,0
000000488025.jpg,0.530428,0.06142,40.0,13,0
000000298968.jpg,0.674535,0.06227,33.0,2,0
000000212729.jpg,0.616737,0.06487,43.5,11,0
000000104076.jpg,0.62027,0.0599,37.2,26,0
000000214357.jpg,0.67778,0.06333,31.5,10,0
000000324038.jpg,0.470666,0.05455,36.7,5,0
000000469674.jpg,0.744191,0.06635,42.1,6,0
000000559913.jpg,0.67145,0.05609,43.8,6,0
000000519119.jpg,0.572131,0.05318,28.9,18,0
000000030320.jpg,0.603679,0.06312,45.1,7,0
000000281256.jpg,0.550796,0.05767,41.2,5,0
000000102760.jpg,0.545088,0.06068,39.0,2,0
000000541494.jpg,0.457349,0.06205,39.4,7,0
000000515443.jpg,0.825459,0.0541,34.9,5,0
000000549611.jpg,0.618346,0.06269,36.7,3,0
000000578443.jpg,0.496676,0.06456,29.0,12,0
000000550343.jpg,0.700699,0.06107,41.2,5,0
000000300935.jpg,0.638638,0.0678,33.7,9,0
000000505756.jpg,0.591057,0.06164,34.4,14,0
000000081347.jpg,0.623223,0.06833,35.7,2,0
000000121127.jpg,0.639715,0.06909,40.2,4,0
000000198749.jpg,0.818177,0.06682,41.2,3,0
000000440150.jpg,0.52179,0.06521,47.4,24,0
000000561236.jpg,0.615677,0.06811,41.5,2,0
000000263129.jpg,0.75128,0.05956,37.8,3,0
000000509249.jpg,0.734664,0.05874,38.5,9,0
000000237461.jpg,0.629664,0.06369,34.0,3,0
000000302805.jpg,0.542442,0.05928,40.8,4,0
000000092208.jpg,0.608306,0.06407,37.3,7,0
000000388003.jpg,0.594436,0.0638,31.9,4,0
000000125409.jpg,0.282656,0.0616,35.6,1,0
000000041538.jpg,0.385818,0.0587,33.3,6,0
000000472901.jpg,0.572319,0.05914,36.5,8,0
000000139096.jpg,0.54489,0.05772,39.1,3,0
000000186680.jpg,0.762757,0.05828,37.0,6,0
000000557779.jpg,0.614743,0.0577,44.7,13,0
000000474044.jpg,0.691123,0.06025,40.2,6,0
000000415092.jpg,0.591174,0.05776,37.4,6,0
000000021748.jpg,0.615013,0.05856,43.7,1,0
000000557456.jpg,0.527862,0.04801,33.3,4,0
000000158008.jpg,0.443886,0.06109,40.6,4,0
000000341803.jpg,0.678437,0.06031,39.2,5,0
000000344109.jpg,0.758678,0.05937,41.0,3,0
000000235821.jpg,0.437899,0.05883,41.0,11,0
000000168351.jpg,0.667443,0.06172,36.1,4,0
000000546916.jpg,0.712989,0.06508,40.5,2,0
000000350976.jpg,0.417664,0.057,39.8,2,0
000000423831.jpg,0.765953,0.06684,31.0,3,0
000000185128.jpg,0.440867,0.06534,38.0,22,0
000000480350.jpg,0.635646,0.06117,43.1,17,0
000000258944.jpg,0.874031,0.0576,39.4,1,0
000000070264.jpg,0.699805,0.06297,35.6,4,0
000000218344.jpg,0.627228,0.06355,29.3,3,0
000000276920.jpg,0.453071,0.06134,35.7,6,0
000000033951.jpg,0.495185,0.05938,37.1,28,0
000000362717.jpg,0.598508,0.06114,36.0,3,0
000000371096.jpg,0.339926,0.06197,36.8,2,0
000000077157.jpg,0.651723,0.06287,41.8,3,0
000000237053.jpg,0.93905,0.06293,31.2,1,0
000000369435.jpg,0.743306,0.05458,34.8,8,0
000000074149.jpg,0.551531,0.06542,33.0,10,0
000000188714.jpg,0.769828,0.0645,40.0,3,0
000000123078.jpg,0.856951,0.06484,37.0,2,0
000000523967.jpg,0.822081,0.05958,40.6,6,0
000000095942.jpg,0.668969,0.06158,38.0,2,0
000000447683.jpg,0.419897,0.08363,35.7,6,1
000000558085.jpg,0.569457,0.06239,42.7,8,0
000000138427.jpg,0.0,0.06124,37.9,0,0
000000498069.jpg,0.668001,0.05808,37.8,6,0
000000384820.jpg,0.46001,0.05856,42.3,6,0
000000078588.jpg,0.422562,0.05849,35.9,21,0
000000198131.jpg,0.802671,0.05241,38.3,3,0
000000199562.jpg,0.592422,0.04997,28.8,3,0
000000301947.jpg,0.787096,0.06092,36.8,1,0
000000532395.jpg,0.776751,0.05699,41.7,3,0
000000291364.jpg,0.514706,0.05526,39.8,2,0
000000477091.jpg,0.54982,0.05396,36.6,3,0
000000548774.jpg,0.479518,0.05941,36.6,4,0
000000146642.jpg,0.759887,0.06222,34.7,3,0
000000492149.jpg,0.913771,0.06081,40.0,1,0
000000171263.jpg,0.4867,0.05717,40.8,12,0
000000462600.jpg,0.668095,0.05672,40.2,2,0
000000087952.jpg,0.636911,0.05748,36.0,4,0
000000366987.jpg,0.921676,0.05095,35.0,3,0
000000392752.jpg,0.740197,0.05806,36.4,2,0
